Using data for  U0
Training MAE:   0.23721321144104004
Testing loss:   0.10243211384415626
Testing MSE:    0.10243211384415626
Testing MAE:    0.20130891876220702

Epoch  2
Training loss:  0.08663782933577895
Training MSE:   0.08663782933577895
Training MAE:   0.19121366729736328
Testing loss:   0.08056689556241035
Testing MSE:    0.08056689556241035
Testing MAE:    0.200861962890625

Epoch  3
Training loss:  0.07473230732828379
Training MSE:   0.07473230732828379
Training MAE:   0.18642370262145996
Testing loss:   0.08493031202554703
Testing MSE:    0.08493031202554703
Testing MAE:    0.2201933319091797

Epoch  4
Training loss:  0.0720394069686532
Training MSE:   0.0720394069686532
Training MAE:   0.19029987182617186
Testing loss:   0.10896049157381058
Testing MSE:    0.10896049157381058
Testing MAE:    0.25758274536132814

Epoch  5
Training loss:  0.07177103391438723
Training MSE:   0.07177103391438723
Training MAE:   0.192973934173584
Testing loss:   0.07931433476805687
Testing MSE:    0.07931433476805687
Testing MAE:    0.22000314025878906

Epoch  6
Training loss:  0.07764321919158101
Training MSE:   0.07764321919158101
Training MAE:   0.20498496437072755
Testing loss:   0.0636720500767231
Testing MSE:    0.0636720500767231
Testing MAE:    0.18216019744873047

Epoch  7
Training loss:  0.10534041463583708
Training MSE:   0.10534041463583708
Training MAE:   0.24630441284179688
Testing loss:   0.20571214101314544
Testing MSE:    0.20571214101314544
Testing MAE:    0.4072798141479492

Epoch  8
Training loss:  0.10355742130354047
Training MSE:   0.10355742130354047
Training MAE:   0.24381270637512206
Testing loss:   0.07578194170594216
Testing MSE:    0.07578194170594216
Testing MAE:    0.21343065490722657

Epoch  9
Training loss:  0.1134386540517211
Training MSE:   0.1134386540517211
Training MAE:   0.2590149017333984
Testing loss:   0.03944475892484188
Testing MSE:    0.03944475892484188
Testing MAE:    0.1376393615722656

Training loss:  0.040257384698837995
Training MSE:   0.040257384698837995
Training MAE:   0.13766333198547362

Testing loss:  0.03944475892484188
Testing MSE:   0.03944475892484188
Testing MAE:   0.1376393615722656

Number of layers:  3
Number of units in layer [1,2,3]:  [25, 25, 5]
Activation function in layer [1,2,3]:  ['relu', 'relu', 'relu']
Loss function:  mean_squared_error
Number of epochs:  10
Batch size:  32

Epoch  0
Training loss:  7695.6566308321
Training MSE:   7695.6566308321
Training MAE:   28.243863488006593
Testing loss:   2.166820550537109
Testing MSE:    2.166820550537109
Testing MAE:    1.1262674118041993

Epoch  1
Training loss:  0.41841147549450397
Training MSE:   0.41841147549450397
Training MAE:   0.42915210609436033
Testing loss:   0.11010545979738236
Testing MSE:    0.11010545979738236
Testing MAE:    0.2355708709716797

Epoch  2
Training loss:  0.09047535908669234
Training MSE:   0.09047535908669234
Training MAE:   0.19868657455444336
Testing loss:   0.17034524073600768
Testing MSE:    0.17034524073600768
Testing MAE:    0.34994555969238283

Epoch  3
Training loss:  0.07963817768096924
Training MSE:   0.07963817768096924
Training MAE:   0.19523916282653808
Testing loss:   0.07451990010738373
Testing MSE:    0.07451990010738373
Testing MAE:    0.20093864135742187

Epoch  4
Training loss:  0.07503718587756157
Training MSE:   0.07503718587756157
Training MAE:   0.19316388092041015
Testing loss:   0.11027345839738846
Testing MSE:    0.11027345839738846
Testing MAE:    0.26833069458007813

Epoch  5
Training loss:  0.08170826249569654
Training MSE:   0.08170826249569654
Training MAE:   0.20793980598449707
Testing loss:   0.05650735929012299
Testing MSE:    0.05650735929012299
Testing MAE:    0.1677801315307617

Epoch  6
Training loss:  0.09066467133909464
Training MSE:   0.09066467133909464
Training MAE:   0.22501382675170897
Testing loss:   0.07247590503692627
Testing MSE:    0.07247590503692627
Testing MAE:    0.20721087036132813

Epoch  7
Training loss:  0.12389291214048863
Training MSE:   0.12389291214048863
Training MAE:   0.26787452964782715
Testing loss:   0.05690722643733025
Testing MSE:    0.05690722643733025
Testing MAE:    0.17649464569091797

Epoch  8
Training loss:  0.12170690739154816
Training MSE:   0.12170690739154816
Training MAE:   0.26824242668151854
Testing loss:   0.06337000461816787
Testing MSE:    0.06337000461816787
Testing MAE:    0.19314268951416017

Epoch  9
Training loss:  0.12753361710458994
Training MSE:   0.12753361710458994
Training MAE:   0.2747303382873535
Testing loss:   0.04592493494749069
Testing MSE:    0.04592493494749069
Testing MAE:    0.15569538879394532

Training loss:  0.04803429470360279
Training MSE:   0.04803429470360279
Training MAE:   0.1571193920135498

Testing loss:  0.04592493494749069
Testing MSE:   0.04592493494749069
Testing MAE:   0.15569538879394532

Number of layers:  3
Number of units in layer [1,2,3]:  [25, 20, 25]
Activation function in layer [1,2,3]:  ['relu', 'relu', 'relu']
Loss function:  mean_squared_error
Number of epochs:  10
Batch size:  32

Epoch  0
Training loss:  5436.821904262924
Training MSE:   5436.821904262924
Training MAE:   23.064700568008423
Testing loss:   7.307717251586914
Testing MSE:    7.307717251586914
Testing MAE:    2.170573435974121

Epoch  1
Training loss:  1.1585013797551393
Training MSE:   1.1585013797551393
Training MAE:   0.692806396484375
Testing loss:   0.12340910912752151
Testing MSE:    0.12340910912752151
Testing MAE:    0.24426467742919922

Epoch  2
Training loss:  0.10760967623591423
Training MSE:   0.10760967623591423
Training MAE:   0.21777383308410644
Testing loss:   0.08647610489726067
Testing MSE:    0.08647610489726067
Testing MAE:    0.20033355712890624

Epoch  3
Training loss:  0.09686184336990118
Training MSE:   0.09686184336990118
Training MAE:   0.21737223205566406
Testing loss:   0.09716150411367416
Testing MSE:    0.09716150411367416
Testing MAE:    0.22003500061035156

Epoch  4
Training loss:  0.09352662410587072
Training MSE:   0.09352662410587072
Training MAE:   0.2202432014465332
Testing loss:   0.10108580377101899
Testing MSE:    0.10108580377101899
Testing MAE:    0.23115284729003907

Epoch  5
Training loss:  0.10011660529226064
Training MSE:   0.10011660529226064
Training MAE:   0.23289072647094727
Testing loss:   0.19538113117218017
Testing MSE:    0.19538113117218017
Testing MAE:    0.38045048217773436

Epoch  6
Training loss:  0.1288577389165759
Training MSE:   0.1288577389165759
Training MAE:   0.26915639228820804
Testing loss:   0.13263145387172698
Testing MSE:    0.13263145387172698
Testing MAE:    0.30395868682861327

Epoch  7
Training loss:  0.16727923842221498
Training MSE:   0.16727923842221498
Training MAE:   0.31574502487182615
Testing loss:   0.11820248415470123
Testing MSE:    0.11820248415470123
Testing MAE:    0.28507123107910154

Epoch  8
Training loss:  0.18435967026799918
Training MSE:   0.18435967026799918
Training MAE:   0.3364390426635742
Testing loss:   0.08197154474854469
Testing MSE:    0.08197154474854469
Testing MAE:    0.21774773406982423

Epoch  9
Training loss:  0.16454901253432036
Training MSE:   0.16454901253432036
Training MAE:   0.313653910446167
Testing loss:   0.08899083459377288
Testing MSE:    0.08899083459377288
Testing MAE:    0.24357261810302736

Training loss:  0.0894495973110199
Training MSE:   0.0894495973110199
Training MAE:   0.24385765991210936

Testing loss:  0.08899083459377288
Testing MSE:   0.08899083459377288
Testing MAE:   0.24357261810302736

Number of layers:  3
Number of units in layer [1,2,3]:  [25, 20, 20]
Activation function in layer [1,2,3]:  ['relu', 'relu', 'relu']
Loss function:  mean_squared_error
Number of epochs:  10
Batch size:  32

Epoch  0
Training loss:  5080.963530680632
Training MSE:   5080.963530680632
Training MAE:   19.59021615600586
Testing loss:   0.3193784470796585
Testing MSE:    0.3193784470796585
Testing MAE:    0.416100032043457

Epoch  1
Training loss:  0.21347193753421306
Training MSE:   0.21347193753421306
Training MAE:   0.2895431774139404
Testing loss:   0.1589816087603569
Testing MSE:    0.1589816087603569
Testing MAE:    0.29140925903320314

Epoch  2
Training loss:  0.11287364498078824
Training MSE:   0.11287364498078824
Training MAE:   0.22013930320739747
Testing loss:   0.08142820696830749
Testing MSE:    0.08142820696830749
Testing MAE:    0.1935881820678711

Epoch  3
Training loss:  0.09538442391455174
Training MSE:   0.09538442391455174
Training MAE:   0.21547959823608398
Testing loss:   0.07009365962147712
Testing MSE:    0.07009365962147712
Testing MAE:    0.19564605255126954

Epoch  4
Training loss:  0.08959447898566723
Training MSE:   0.08959447898566723
Training MAE:   0.2151274055480957
Testing loss:   0.07637391246557236
Testing MSE:    0.07637391246557236
Testing MAE:    0.2004779769897461

Epoch  5
Training loss:  0.08687565257996321
Training MSE:   0.08687565257996321
Training MAE:   0.21577466316223146
Testing loss:   0.11020923990011215
Testing MSE:    0.11020923990011215
Testing MAE:    0.2750835754394531

Epoch  6
Training loss:  0.11960371489077806
Training MSE:   0.11960371489077806
Training MAE:   0.2618922992706299
Testing loss:   0.05195368413925171
Testing MSE:    0.05195368413925171
Testing MAE:    0.16661213684082032

Epoch  7
Training loss:  0.15210380555763842
Training MSE:   0.15210380555763842
Training MAE:   0.3022537540435791
Testing loss:   0.04447613871395588
Testing MSE:    0.04447613871395588
Testing MAE:    0.14814503021240236

Epoch  8
Training loss:  0.1558412123583257
Training MSE:   0.1558412123583257
Training MAE:   0.3064732494354248
Testing loss:   0.1501474258184433
Testing MSE:    0.1501474258184433
Testing MAE:    0.33804790344238284

Epoch  9
Training loss:  0.1632710800051689
Training MSE:   0.1632710800051689
Training MAE:   0.31471385269165036
Testing loss:   0.202409525680542
Testing MSE:    0.202409525680542
Testing MAE:    0.41165054931640627

Training loss:  0.2050990324616432
Training MSE:   0.2050990324616432
Training MAE:   0.4129435287475586

Testing loss:  0.202409525680542
Testing MSE:   0.202409525680542
Testing MAE:   0.41165054931640627

Number of layers:  3
Number of units in layer [1,2,3]:  [25, 20, 15]
Activation function in layer [1,2,3]:  ['relu', 'relu', 'relu']
Loss function:  mean_squared_error
Number of epochs:  10
Batch size:  32

Epoch  0
Training loss:  3026.605698905456
Training MSE:   3026.605698905456
Training MAE:   13.973278302383424
Testing loss:   0.28170268688201905
Testing MSE:    0.28170268688201905
Testing MAE:    0.3416716827392578

Epoch  1
Training loss:  0.1675734994828701
Training MSE:   0.1675734994828701
Training MAE:   0.2643958404541016
Testing loss:   0.12006340346336365
Testing MSE:    0.12006340346336365
Testing MAE:    0.21168499298095703

Epoch  2
Training loss:  0.09618471000194549
Training MSE:   0.09618471000194549
Training MAE:   0.2093225383758545
Testing loss:   0.09779728723168372
Testing MSE:    0.09779728723168372
Testing MAE:    0.19494504699707033

Epoch  3
Training loss:  0.08599918511062861
Training MSE:   0.08599918511062861
Training MAE:   0.20698351516723631
Testing loss:   0.07268489573001861
Testing MSE:    0.07268489573001861
Testing MAE:    0.17985625305175781

Epoch  4
Training loss:  0.08012076911330224
Training MSE:   0.08012076911330224
Training MAE:   0.20421177558898926
Testing loss:   0.06505559335947037
Testing MSE:    0.06505559335947037
Testing MAE:    0.16865775756835938

Epoch  5
Training loss:  0.09042918912917376
Training MSE:   0.09042918912917376
Training MAE:   0.2224136951446533
Testing loss:   0.18778155789375306
Testing MSE:    0.18778155789375306
Testing MAE:    0.3665545852661133

Epoch  6
Training loss:  0.10565372927337885
Training MSE:   0.10565372927337885
Training MAE:   0.24642023277282715
Testing loss:   0.05513605052232742
Testing MSE:    0.05513605052232742
Testing MAE:    0.1602214370727539

Epoch  7
Training loss:  0.1263353300794959
Training MSE:   0.1263353300794959
Training MAE:   0.27442279624938964
Testing loss:   0.049592117872834206
Testing MSE:    0.049592117872834206
Testing MAE:    0.15255589904785155

Epoch  8
Training loss:  0.13345340886563062
Training MSE:   0.13345340886563062
Training MAE:   0.28284094276428223
Testing loss:   0.09683299763202667
Testing MSE:    0.09683299763202667
Testing MAE:    0.2540051040649414

Epoch  9
Training loss:  0.12822279467433692
Training MSE:   0.12822279467433692
Training MAE:   0.27809746322631834
Testing loss:   0.5815656316757202
Testing MSE:    0.5815656316757202
Testing MAE:    0.7328512481689453

Training loss:  0.5763806518793106
Training MSE:   0.5763806518793106
Training MAE:   0.7311866828918457

Testing loss:  0.5815656316757202
Testing MSE:   0.5815656316757202
Testing MAE:   0.7328512481689453

Number of layers:  3
Number of units in layer [1,2,3]:  [25, 20, 10]
Activation function in layer [1,2,3]:  ['relu', 'relu', 'relu']
Loss function:  mean_squared_error
Number of epochs:  10
Batch size:  32

Epoch  0
Training loss:  7772.589741086936
Training MSE:   7772.589741086936
Training MAE:   26.23807683067322
Testing loss:   0.6678994203567505
Testing MSE:    0.6678994203567505
Testing MAE:    0.6373742111206054

Epoch  1
Training loss:  0.2749468344181776
Training MSE:   0.2749468344181776
Training MAE:   0.36515841255187986
Testing loss:   0.10814926332235336
Testing MSE:    0.10814926332235336
Testing MAE:    0.2296377182006836

Epoch  2
Training loss:  0.10240983059704303
Training MSE:   0.10240983059704303
Training MAE:   0.2240349235534668
Testing loss:   0.1452434553861618
Testing MSE:    0.1452434553861618
Testing MAE:    0.3154571319580078

Epoch  3
Training loss:  0.0855272708773613
Training MSE:   0.0855272708773613
Training MAE:   0.2102813491821289
Testing loss:   0.06379306147098542
Testing MSE:    0.06379306147098542
Testing MAE:    0.17848861083984374

Epoch  4
Training loss:  0.07935523476451635
Training MSE:   0.07935523476451635
Training MAE:   0.20594974517822265
Testing loss:   0.08262060484886169
Testing MSE:    0.08262060484886169
Testing MAE:    0.2268171340942383

Epoch  5
Training loss:  0.08201774015203118
Training MSE:   0.08201774015203118
Training MAE:   0.21207917556762695
Testing loss:   0.05250457937717438
Testing MSE:    0.05250457937717438
Testing MAE:    0.16103245239257813

Epoch  6
Training loss:  0.0838400141954422
Training MSE:   0.0838400141954422
Training MAE:   0.2155136257171631
Testing loss:   0.04881344112157822
Testing MSE:    0.04881344112157822
Testing MAE:    0.15606936187744141

Epoch  7
Training loss:  0.10600581556260585
Training MSE:   0.10600581556260585
Training MAE:   0.250002779006958
Testing loss:   0.08705485527515411
Testing MSE:    0.08705485527515411
Testing MAE:    0.23575704193115235

Epoch  8
Training loss:  0.11360630309134721
Training MSE:   0.11360630309134721
Training MAE:   0.2567386764526367
Testing loss:   0.046789141181111334
Testing MSE:    0.046789141181111334
Testing MAE:    0.15506709442138672

Epoch  9
Training loss:  0.11366044112443924
Training MSE:   0.11366044112443924
Training MAE:   0.26094684562683107
Testing loss:   0.036956755566596985
Testing MSE:    0.036956755566596985
Testing MAE:    0.13859732971191407

Training loss:  0.03813794805407524
Training MSE:   0.03813794805407524
Training MAE:   0.13878861808776854

Testing loss:  0.036956755566596985
Testing MSE:   0.036956755566596985
Testing MAE:   0.13859732971191407

Number of layers:  3
Number of units in layer [1,2,3]:  [25, 20, 5]
Activation function in layer [1,2,3]:  ['relu', 'relu', 'relu']
Loss function:  mean_squared_error
Number of epochs:  10
Batch size:  32

Epoch  0
Training loss:  12925.516702622223
Training MSE:   12925.516702622223
Training MAE:   40.288736151885985
Testing loss:   7.357391738891602
Testing MSE:    7.357391738891602
Testing MAE:    2.0652684616088868

Epoch  1
Training loss:  6.026531450557709
Training MSE:   6.026531450557709
Training MAE:   1.8739624626159668
Testing loss:   4.764014362335205
Testing MSE:    4.764014362335205
Testing MAE:    1.6662264083862304

Epoch  2
Training loss:  3.491032189655304
Training MSE:   3.491032189655304
Training MAE:   1.416215470123291
Testing loss:   2.3872094591140747
Testing MSE:    2.3872094591140747
Testing MAE:    1.163773924255371

Epoch  3
Training loss:  1.5826446791172029
Training MSE:   1.5826446791172029
Training MAE:   0.9410897483825683
Testing loss:   0.9578567358970642
Testing MSE:    0.9578567358970642
Testing MAE:    0.7348761138916016

Epoch  4
Training loss:  0.6587878305196762
Training MSE:   0.6587878305196762
Training MAE:   0.6016605827331543
Testing loss:   0.46804272918701173
Testing MSE:    0.46804272918701173
Testing MAE:    0.5305555603027344

Epoch  5
Training loss:  0.2986083305180073
Training MSE:   0.2986083305180073
Training MAE:   0.3956640132904053
Testing loss:   0.17812593377828598
Testing MSE:    0.17812593377828598
Testing MAE:    0.2917297348022461

Epoch  6
Training loss:  0.15436158023774624
Training MSE:   0.15436158023774624
Training MAE:   0.27147028350830077
Testing loss:   0.10969517481923104
Testing MSE:    0.10969517481923104
Testing MAE:    0.23146343841552736

Epoch  7
Training loss:  0.11284623749777675
Training MSE:   0.11284623749777675
Training MAE:   0.23321415328979492
Testing loss:   0.07574993733167648
Testing MSE:    0.07574993733167648
Testing MAE:    0.18893342742919922

Epoch  8
Training loss:  0.10789350023269653
Training MSE:   0.10789350023269653
Training MAE:   0.23836638488769532
Testing loss:   0.07865436554551125
Testing MSE:    0.07865436554551125
Testing MAE:    0.20901332397460937

Epoch  9
Training loss:  0.10090743225365877
Training MSE:   0.10090743225365877
Training MAE:   0.23520566902160644
Testing loss:   0.14169130729436874
Testing MSE:    0.14169130729436874
Testing MAE:    0.3078634826660156

Training loss:  0.1425789376437664
Training MSE:   0.1425789376437664
Training MAE:   0.30743745613098145

Testing loss:  0.14169130729436874
Testing MSE:   0.14169130729436874
Testing MAE:   0.3078634826660156

Number of layers:  3
Number of units in layer [1,2,3]:  [25, 15, 25]
Activation function in layer [1,2,3]:  ['relu', 'relu', 'relu']
Loss function:  mean_squared_error
Number of epochs:  10
Batch size:  32

Epoch  0
Training loss:  6272.358704778671
Training MSE:   6272.358704778671
Training MAE:   25.691068297195436
Testing loss:   13.770513414001465
Testing MSE:    13.770513414001465
Testing MAE:    2.8576962509155273

Epoch  1
Training loss:  5.7659053366661075
Training MSE:   5.7659053366661075
Training MAE:   1.7913749355316162
Testing loss:   1.3874084636688233
Testing MSE:    1.3874084636688233
Testing MAE:    0.9266538345336914

Epoch  2
Training loss:  0.5255390731185675
Training MSE:   0.5255390731185675
Training MAE:   0.5177735836029053
Testing loss:   0.21551419657468796
Testing MSE:    0.21551419657468796
Testing MAE:    0.3427936248779297

Epoch  3
Training loss:  0.13416607389748098
Training MSE:   0.13416607389748098
Training MAE:   0.2353715404510498
Testing loss:   0.09813034335374832
Testing MSE:    0.09813034335374832
Testing MAE:    0.19211629791259766

Epoch  4
Training loss:  0.11044034546986223
Training MSE:   0.11044034546986223
Training MAE:   0.21932734832763673
Testing loss:   0.18915841562747956
Testing MSE:    0.18915841562747956
Testing MAE:    0.3482877014160156

Epoch  5
Training loss:  0.11465491658225656
Training MSE:   0.11465491658225656
Training MAE:   0.24263184432983398
Testing loss:   0.0705818287730217
Testing MSE:    0.0705818287730217
Testing MAE:    0.1728357177734375

Epoch  6
Training loss:  0.1338202487140894
Training MSE:   0.1338202487140894
Training MAE:   0.27148584632873535
Testing loss:   0.1172561079621315
Testing MSE:    0.1172561079621315
Testing MAE:    0.27106856536865237

Epoch  7
Training loss:  0.13131034678667783
Training MSE:   0.13131034678667783
Training MAE:   0.2719181129455566
Testing loss:   0.10677446835041046
Testing MSE:    0.10677446835041046
Testing MAE:    0.2634226333618164

Epoch  8
Training loss:  0.15113679711446165
Training MSE:   0.15113679711446165
Training MAE:   0.29913905181884765
Testing loss:   0.06583039212822914
Testing MSE:    0.06583039212822914
Testing MAE:    0.19035165405273438

Epoch  9
Training loss:  0.13307316179126502
Training MSE:   0.13307316179126502
Training MAE:   0.28375242691040037
Testing loss:   0.045133663073182104
Testing MSE:    0.045133663073182104
Testing MAE:    0.14451873626708983

Training loss:  0.04448430853784084
Training MSE:   0.04448430853784084
Training MAE:   0.14303039512634277

Testing loss:  0.045133663073182104
Testing MSE:   0.045133663073182104
Testing MAE:   0.14451873626708983

Number of layers:  3
Number of units in layer [1,2,3]:  [25, 15, 20]
Activation function in layer [1,2,3]:  ['relu', 'relu', 'relu']
Loss function:  mean_squared_error
Number of epochs:  10
Batch size:  32

Epoch  0
Training loss:  7341.089620131684
Training MSE:   7341.089620131684
Training MAE:   27.450204400634764
Testing loss:   22.541084358215333
Testing MSE:    22.541084358215333
Testing MAE:    3.7635409591674804

Epoch  1
Training loss:  10.839127754974365
Training MSE:   10.839127754974365
Training MAE:   2.501279675292969
Testing loss:   3.2743675613403322
Testing MSE:    3.2743675613403322
Testing MAE:    1.4055141815185548

